Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
625119,64615,54615,0.8452,2,10000,41803,10000,577810,104014,473796,0,0,0,0,0,0,0,0,0,10,7,25000,10000,5000,1,0,1,0,0,0,1,0,4,1,0,0,0,24615,40000,0.6191,1
646861,64615,57773,0.8941,3,1000,69981,6842,239050,160700,78350,0,0,0,0,0,0,0,0,0,11,0,43000,15000,0,0,0,0,0,0,0,0,0,5,1,1,0,1,6615,58000,0.8976,1
647472,40940,3361,0.0821,4,15000,108143,37579,459749,239827,219922,0,0,0,0,0,0,0,0,0,9,3,3000,5000,15500,1,0,1,0,0,0,1,0,3,1,0,0,0,17440,23500,0.574,1
648802,68685,67185,0.9782,1,1500,7080,1500,577,0,577,0,0,0,0,0,0,0,0,0,12,0,46685,15000,0,0,0,1,0,0,0,1,0,5,1,1,0,1,7000,61685,0.8981,1
656704,64615,0,0,2,20000,569572,394126,2000000,441873,1558127,0,0,0,0,0,0,0,0,0,11,7,0,7000,10000,1,0,0,0,0,0,0,0,3,1,1,0,1,47615,17000,0.2631,0
647102,68685,68185,0.9927,2,500,17400,500,4000,5000,-1000,0,0,0,0,0,0,0,0,0,12,0,66685,0,0,1,0,1,0,0,0,1,0,3,1,1,0,1,2000,66685,0.9709,1
648187,68685,38685,0.5632,1,30000,83122,30000,1653000,561854,1091146,0,0,0,0,0,0,0,0,0,12,0,20000,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,48685,20000,0.2912,0
649128,68685,63685,0.9272,1,5000,19600,5000,207452,35000,172452,0,0,0,0,0,0,0,0,0,12,0,50000,5000,0,0,0,1,0,0,0,1,0,3,1,1,0,1,13685,55000,0.8008,1
640233,68685,0,0,4,30000,882515,538139,3312080,567192,2744888,0,0,0,0,0,0,0,0,0,12,1,0,15000,0,1,0,0,0,0,0,0,0,5,1,0,0,0,53685,15000,0.2184,1
656910,68685,0,0,1,22000,253374,150879,1242475,335557,906918,0,0,0,0,0,0,0,0,0,12,4,0,5000,5000,1,0,0,0,1,1,2,0,3,1,1,0,1,58685,10000,0.1456,1
656526,68685,4922,0.0717,1,13000,251774,63763,1316000,755738,560262,0,0,0,0,0,0,0,0,0,12,0,32685,7000,16000,1,0,0,0,0,0,0,0,3,1,1,0,1,13000,55685,0.8107,1
660552,64615,0,0,2,12000,682078,518463,2687284,58700,2628584,0,0,0,0,0,0,0,0,0,11,0,0,15000,29000,0,0,0,0,0,0,0,0,5,1,1,0,1,20615,44000,0.681,1
657044,64615,59615,0.9226,1,5000,16949,5000,383276,612005,-228729,0,0,0,0,0,0,0,0,0,10,5,48000,7000,0,0,0,1,0,0,0,1,0,3,1,0,0,0,9615,55000,0.8512,1
658928,64615,0,0,1,25000,292706,201647,2342628,588837,1753791,0,0,0,0,0,0,0,0,0,11,0,0,10000,13500,0,0,0,0,0,0,0,0,4,1,1,0,1,41115,23500,0.3637,0
659313,68685,40479,0.5893,2,500,43434,28206,1642669,179031,1463638,0,0,0,0,0,0,0,0,0,12,0,48185,10000,0,1,0,0,0,0,0,0,0,4,1,1,0,1,10500,58185,0.8471,1
659477,64615,10926,0.1691,2,24000,111108,53689,38360,2222,36138,0,0,0,0,0,0,0,0,0,11,7,16925,7000,8000,1,0,0,0,0,0,0,0,3,1,1,0,1,32690,31925,0.4941,1
658938,64615,0,0,2,35000,145900,121018,2207000,282000,1925000,0,0,0,0,0,0,0,0,0,10,0,0,13000,12000,1,0,0,0,0,0,0,0,4,1,1,0,1,39615,25000,0.3869,1
659948,64615,60615,0.9381,1,4000,49207,4000,4950,9657,-4707,0,0,0,0,0,0,0,0,0,11,7,44615,10000,0,1,0,0,0,0,0,0,0,4,1,1,0,1,10000,54615,0.8452,1
660454,64615,61115,0.9458,1,3500,44642,3500,84074,211300,-127226,0,0,0,0,0,0,0,0,0,11,0,24615,10000,15000,0,0,0,0,0,0,0,0,4,1,1,0,1,15000,49615,0.7679,1
660249,68685,50184,0.7306,2,3800,88149,18501,260760,186812,73948,0,0,0,0,0,0,0,0,0,12,0,48500,7500,0,0,0,0,0,0,0,0,0,3.5,1,1,0,1,12685,56000,0.8153,0
659773,68685,0,0,2,5000,234516,150529,1451500,5000,1446500,0,0,0,0,0,0,0,0,0,12,0,0,15000,48685,0,0,0,0,0,0,0,0,5,1,1,0,1,5000,63685,0.9272,1
659706,68685,56685,0.8253,1,12000,95587,12000,314000,324000,-10000,0,0,0,0,0,0,0,0,0,12,0,28685,13000,15000,1,0,0,0,0,0,0,0,3,1,1,0,1,12000,56685,0.8253,1
657243,68685,58685,0.8544,2,10000,25434,10000,747700,74000,673700,0,0,0,0,0,0,0,0,0,12,0,40370,10000,0,0,0,0,0,0,0,0,0,4,1,1,0,1,18315,50370,0.7333,1
659309,64615,64515,0.9985,2,100,30618,100,96763,96317,446,0,0,0,0,0,0,0,0,0,11,0,29615,15000,15000,0,0,0,0,0,0,0,0,5,1,1,0,1,5000,59615,0.9226,1
658049,64615,15303,0.2368,1,5000,103952,49312,970120,286752,683368,0,0,0,0,0,0,0,0,0,11,0,34615,15000,5000,0,0,0,0,0,0,0,0,5,1,0,0,0,10000,54615,0.8452,1
658399,64615,0,0,2,5000,160113,84545,1734383,499017,1235366,0,0,0,0,0,0,0,0,0,10,4,0,15000,12615,0,0,0,0,0,0,0,0,5,1,1,0,1,37000,27615,0.4274,0
658328,68685,17038,0.2481,1,1500,116542,51647,275200,28700,246500,0,0,0,0,0,0,0,0,0,12,4,41685,0,10000,1,0,0,0,0,0,0,0,2,1,0,0,0,17000,51685,0.7525,1
659768,68685,67685,0.9854,1,1000,10955,1000,267,0,267,0,0,0,0,0,0,0,0,0,12,0,59685,7000,0,0,0,1,0,0,0,1,0,3,1,1,0,1,2000,66685,0.9709,1
657787,64615,59615,0.9226,3,5000,120000,5000,83500,40281,43219,0,0,0,0,0,0,0,0,0,11,1,30000,5000,0,0,0,0,0,0,0,0,0,3,1,1,0,1,29615,35000,0.5417,1
658874,64615,37309,0.5774,2,5000,94772,27306,238000,235462,2538,0,0,0,0,0,0,0,0,0,11,0,34615,10000,10000,0,0,0,0,0,0,0,0,4,1,1,0,1,10000,54615,0.8452,1
659967,68685,54138,0.7882,2,5000,51259,14547,677701,1,677700,0,0,0,0,0,0,0,0,0,12,0,35685,15000,0,0,0,0,0,0,0,0,0,5,1,1,0,1,18000,50685,0.7379,1
658596,64615,13414,0.2076,3,100,89499,51201,60000,600,59400,0,0,0,0,0,0,0,0,0,11,0,35615,15000,10000,0,0,0,0,0,0,0,0,5,1,1,0,1,4000,60615,0.9381,1
658693,64615,57927,0.8965,1,5000,45295,6688,236000,19200,216800,0,0,0,0,0,0,0,0,0,11,0,40000,10000,0,1,0,0,0,0,0,0,0,4,1,1,0,1,14615,50000,0.7738,0
657241,64615,0,0,1,18500,125392,149594,2741837,4152,2737685,0,0,0,0,0,0,0,0,0,11,0,0,10000,15615,1,0,0,0,0,0,0,0,4,1,1,0,1,39000,25615,0.3964,1
658222,64615,0,0,1,16000,316054,126515,1536814,244919,1291895,0,0,0,0,0,0,0,0,0,11,0,0,15000,16615,1,0,0,0,0,0,0,0,5,1,0,0,0,33000,31615,0.4893,1
658642,68685,13625,0.1984,2,1000,192757,55060,636000,345000,291000,0,0,0,0,0,0,0,0,0,12,1,34185,10000,10000,0,0,1,0,0,0,1,0,4,1,0,0,0,14500,54185,0.7889,1
658513,68685,66685,0.9709,1,2000,35130,2000,338800,5000,333800,0,0,0,0,0,0,0,0,0,12,0,44685,12000,0,0,0,1,0,0,0,1,0,4.5,1,1,0,1,12000,56685,0.8253,1
659895,68685,21044,0.3064,3,10000,40721,47641,4400322,937000,3463322,0,0,0,0,0,0,0,0,0,12,0,29000,15000,0,1,1,0,0,0,1,2,0,4,1,1,0,1,24685,44000,0.6406,1
657371,68685,0,0,3,6000,135035,76272,937118,90618,846500,1,0,0,0,0,0,0,0,1,12,0,0,10000,38685,0,0,0,0,0,0,0,0,4,1,1,0,1,20000,48685,0.7088,0
658421,64615,44615,0.6905,1,20000,48835,20000,105400,3620,101780,0,0,0,0,0,0,0,0,0,9,4,10000,15000,0,1,0,1,0,0,0,1,0,5,1,1,0,1,39615,25000,0.3869,1
659126,68685,32444,0.4724,1,3000,93769,36241,385830,59846,325984,0,0,0,0,0,0,0,0,0,12,4,20000,5000,10000,1,0,0,0,0,0,0,0,3,1,1,0,1,33685,35000,0.5096,0
660994,64615,55976,0.8663,1,0,65740,8639,191500,97000,94500,0,0,0,0,0,0,0,0,0,11,0,56615,5000,0,0,0,1,0,0,0,1,0,3,1,1,0,1,3000,61615,0.9536,1
657361,68685,40392,0.5881,2,12000,85969,28293,668633,72549,596084,0,0,0,0,0,0,0,0,0,12,7,20000,10000,5000,0,0,0,0,0,0,0,0,4,1,1,0,1,33685,35000,0.5096,0
657356,64615,0,0,1,15000,294941,169929,838781,346297,492484,0,0,0,0,0,0,0,0,0,9,0,0,15000,20000,1,0,0,0,0,0,0,0,5,1,1,0,1,29615,35000,0.5417,1
657607,64615,61615,0.9536,3,3000,42479,3000,54479,12900,41579,0,0,0,0,0,0,0,0,0,11,0,50615,7000,0,0,0,1,0,0,0,1,0,3,1,1,0,1,7000,57615,0.8917,1
659001,68685,21438,0.3121,2,10000,181093,47247,696422,393902,302520,0,0,0,0,0,0,0,0,0,12,0,0,15000,32500,1,0,0,0,0,0,0,0,5,1,1,0,1,21185,47500,0.6916,0
658341,64615,0,0,1,15000,471101,270466,1205000,201000,1004000,0,0,0,0,0,0,0,0,0,10,0,15615,10000,10000,1,0,1,0,0,0,1,0,4,1,1,0,1,29000,35615,0.5512,1
659636,64615,0,0,2,10000,397717,208173,1575657,13146,1562511,0,0,0,0,0,0,0,0,0,10,4,0,10000,10000,1,0,0,0,0,0,0,0,4,1,1,0,1,44615,20000,0.3095,0
660589,68685,0,0,1,20000,744892,463474,1335108,4105,1331003,0,0,0,0,0,0,0,0,0,12,0,0,10000,10000,0,0,0,0,0,0,0,0,4,1,1,0,1,48685,20000,0.2912,1
647040,64615,0,0,2,61000,663943,416788,4572752,1919725,2653027,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,64615,0,0,1
581625,66135,0,0,2,30000,361318,191685,1920207,886745,1033462,0,0,0,0,0,0,0,0,0,12,6,0,0,15000,1,0,0,0,0,0,0,0,4,1,1,0,1,51135,15000,0.2268,1
549383,62185,0,0,1,40000,134461,187216,3993000,0,3993000,0,0,0,0,0,0,0,0,1,13,0,0,0,10000,1,1,0,0,0,0,1,0,4,1,1,1,2,52185,10000,0.1608,1
582553,62185,50753,0.8162,2,0,19426,11432,1000011,150,999861,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,62185,0,0,0
577577,66135,0,0,1,10000,169000,108254,709000,277000,432000,0,0,0,0,0,0,0,0,0,12,0,0,0,5000,0,0,0,0,0,0,0,0,4,1,0,0,0,61135,5000,0.0756,0
585198,62185,0,0,1,47500,568756,442083,2928000,0,2928000,0,0,0,0,0,0,0,0,0,11,4,0,0,0,1,0,0,0,1,1,2,0,2,1,0,0,0,62185,0,0,1
579187,62185,0,0,1,40000,430522,206098,401981,70000,331981,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,1,0,0,0,1,0,5,1,1,0,1,62185,0,0,1
