Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
484787,59500,58500,0.9832,1,1000,0,1000,20246,6014,14232,0,0,0,0,0,0,0,0,0,11,4,44000,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,15500,44000,0.7395,0
475701,59500,0,0,2,10000,129391,71213,1057600,468000,589600,0,0,0,0,0,0,0,0,0,9,5,36000,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,23500,36000,0.605,1
463760,63450,0,0,1,20000,279003,151710,1210303,445073,765230,0,0,0,0,0,0,0,0,0,12,0,5000,0,5000,0,0,0,0,0,0,0,0,4,1,0,0,0,53450,10000,0.1576,1
500566,63450,60450,0.9527,1,3000,30462,3000,12700,15292,-2592,0,0,0,0,0,0,0,0,0,13,1,55000,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,8450,55000,0.8668,1
460237,59500,0,0,2,15000,226836,86250,1035745,395059,640686,1,1,0,0,0,0,0,0,2,9,4,15000,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,44500,15000,0.2521,1
505677,59500,34500,0.5798,1,25000,54400,25000,340500,85000,255500,0,0,0,0,0,0,0,0,0,11,4,42000,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,17500,42000,0.7059,1
458277,59500,22808,0.3833,1,15000,135282,36692,440113,283443,156670,0,0,0,0,0,0,0,0,0,9,0,25000,0,5000,0,0,0,0,0,0,0,0,3,1,1,0,1,29500,30000,0.5042,0
495614,63450,54500,0.8589,1,5000,38000,5000,290000,33000,257000,0,0,0,0,0,0,0,0,0,12,0,51000,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,12450,51000,0.8038,1
488173,59500,59500,1,3,0,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,47500,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,12000,47500,0.7983,0
459846,59500,52500,0.8824,2,7000,17484,7000,23000,0,23000,0,0,0,0,0,0,0,0,0,11,1,40000,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,19500,40000,0.6723,1
